,start_date,end_date,date_range,timedelta_days,bands,band_count,city,country,state
83,2023-03-26,2023-03-28,2023-03-26 to 2023-03-28,2,"('Ed Sheeran', 'Sungazer')",2,Glasgow, UK,
100,2023-09-09,2023-09-09,2023-09-09,0,"('Ed Sheeran', 'Zedd')",2,Las Vegas, US, NV
101,2023-05-24,2023-05-28,2023-05-24 to 2023-05-28,0,"('Marshmello', 'Bruno Mars')",2,Las Vegas, US, NV
9,2023-05-21,2023-05-25,2023-05-21 to 2023-05-25,4,"('Paramore', 'Plini')",2,Atlanta, US, GA
8,2023-05-25,2023-05-27,2023-05-25 to 2023-05-27,2,"('Ed Sheeran', 'Paramore')",2,Atlanta, US, GA
103,2023-05-14,2023-05-19,2023-05-14 to 2023-05-19,2,"('Marshmello', 'Deadmau5')",2,Las Vegas, US, NV
7,2023-07-26,2023-07-26,2023-07-26,0,"('Bring Me The Horizon', 'Fall Out Boy')",2,Atlanta, US, GA
105,2023-05-05,2023-05-05,2023-05-05,0,"('Marshmello', 'The Chicks')",2,Las Vegas, US, NV
107,2023-04-07,2023-04-08,2023-04-07 to 2023-04-08,1,"('Muse', 'Zedd')",2,Las Vegas, US, NV
5,2023-05-17,2023-05-17,2023-05-17,0,"('Arch Echo', 'Haken')",2,Atlanta, US, GA
108,2023-05-06,2023-05-10,2023-05-06 to 2023-05-10,0,"('The Chicks', 'Veil of Maya')",2,Las Vegas, US, NV
109,2023-04-29,2023-05-03,2023-04-29 to 2023-05-03,4,"('The Chicks', 'Zedd')",2,Las Vegas, US, NV
4,2023-03-21,2023-03-21,2023-03-21,0,"('Twenty One Pilots', 'Billie Eilish')",2,Asunción, Paraguay,
3,2023-10-20,2023-10-24,2023-10-20 to 2023-10-24,4,"('Martin Garrix', 'Fall Out Boy')",2,Amsterdam, Netherlands,
112,2023-04-21,2023-04-22,2023-04-21 to 2023-04-22,1,"('Zedd', 'Deadmau5')",2,Las Vegas, US, NV
113,2023-03-25,2023-03-25,2023-03-25,0,"('Zedd', 'Periphery')",2,Las Vegas, US, NV
2,2023-06-07,2023-06-11,2023-06-07 to 2023-06-11,3,"('Hans Zimmer', 'Louis Cole')",2,Amsterdam, Netherlands,
115,2023-06-01,2023-06-01,2023-06-01,0,"('Arch Echo', 'Haken')",2,Lawrence, US, KS
97,2023-03-15,2023-03-17,2023-03-15 to 2023-03-17,2,"('Theory of a Deadman', 'Periphery')",2,Kansas City, US, MO
96,2023-06-16,2023-06-18,2023-06-16 to 2023-06-18,2,"('The Red Jumpsuit Apparatus', 'Matchbox Twenty')",2,Kansas City, US, MO
37,2023-08-06,2023-08-06,2023-08-06,0,"('Bring Me The Horizon', 'Fall Out Boy')",2,Camden, US, NJ
92,2023-08-05,2023-08-05,2023-08-05,0,"('Bring Me The Horizon', 'Fall Out Boy')",2,Holmdel, US, NJ
15,2023-05-24,2023-05-24,2023-05-24,0,"('Sungazer', 'Plini')",2,Austin, US, TX
14,2023-04-13,2023-04-14,2023-04-13 to 2023-04-14,1,"('Mac Ayres', 'Polyphia')",2,Austin, US, TX
86,2023-06-23,2023-06-28,2023-06-23 to 2023-06-28,5,"('The Chicks', 'Muse')",2,Glasgow, UK,
90,2023-11-07,2023-11-12,2023-11-07 to 2023-11-12,5,"('Animals As Leaders', 'Fall Out Boy')",2,Hamburg, Germany,
91,2023-07-03,2023-07-06,2023-07-03 to 2023-07-06,3,"('Shawn Mendes', 'Jacob Collier')",2,Hamburg, Germany,
85,2023-04-17,2023-04-22,2023-04-17 to 2023-04-22,5,"('Sam Smith', 'Paramore')",2,Glasgow, UK,
88,2023-07-09,2023-07-09,2023-07-09,0,"('Bring Me The Horizon', 'Fall Out Boy')",2,Greenwood Village, US, CO
93,2023-06-08,2023-06-08,2023-06-08,0,"('Hollywood Undead', 'Muse')",2,Hradec Králové, Czech Republic,
87,2023-03-31,2023-04-05,2023-03-31 to 2023-04-05,5,"('Haken', 'Sungazer')",2,Gothenburg, Sweden,
84,2023-03-25,2023-03-26,2023-03-25 to 2023-03-26,1,"('Haken', 'Sungazer')",2,Glasgow, UK,
95,2023-04-14,2023-04-18,2023-04-14 to 2023-04-18,4,"('Three Days Grace', 'Moonchild')",2,Jacksonville, US, FL
16,2023-11-08,2023-11-13,2023-11-08 to 2023-11-13,5,"('Animals As Leaders', 'Fall Out Boy')",2,Berlin, Germany,
12,2023-05-20,2023-05-21,2023-05-20 to 2023-05-21,1,"('Veil of Maya', 'Plini')",2,Atlanta, US, GA
94,2023-04-06,2023-04-08,2023-04-06 to 2023-04-08,2,"('Polyphia', 'Moonchild')",2,Indianapolis, US, IN
225,2023-03-17,2023-03-17,2023-03-17,0,"('Twenty One Pilots', 'Billie Eilish', 'Lil Nas X')",3,San Isidro, Argentina,
1,2023-07-06,2023-07-06,2023-07-06,0,"('Jacob Collier', 'Sam Smith', 'Queens of the Stone Age')",3,Algés, Portugal,
246,2023-03-24,2023-03-26,2023-03-24 to 2023-03-26,2,"('TesseracT', 'Billie Eilish', 'Lil Nas X')",3,São Paulo, Brazil,
226,2023-03-17,2023-03-17,2023-03-17,0,"('Twenty One Pilots', 'Billie Eilish', 'Lil Nas X')",3,Santiago, Chile,
223,2023-04-28,2023-05-03,2023-04-28 to 2023-05-03,5,"('Veil of Maya', 'Sungazer', 'Plini')",3,San Diego, US, CA
28,2023-08-02,2023-08-05,2023-08-02 to 2023-08-05,3,"('Bring Me The Horizon', 'Sam Smith', 'Fall Out Boy')",3,Boston, US, MA
13,2023-05-20,2023-05-24,2023-05-20 to 2023-05-24,4,"('Arch Echo', 'Sungazer', 'Plini')",3,Austin, US, TX
11,2023-05-20,2023-05-25,2023-05-20 to 2023-05-25,5,"('Veil of Maya', 'Paramore', 'Plini')",3,Atlanta, US, GA
6,2023-05-17,2023-05-20,2023-05-17 to 2023-05-20,3,"('Arch Echo', 'Haken', 'Veil of Maya')",3,Atlanta, US, GA
250,2023-06-27,2023-06-30,2023-06-27 to 2023-06-30,3,"('Bring Me The Horizon', 'Matchbox Twenty', 'Fall Out Boy')",3,The Woodlands, US, TX
30,2023-05-26,2023-05-26,2023-05-26,0,"('Queens of the Stone Age', 'Foo Fighters', 'Paramore')",3,Boston, US, MA
255,2023-05-01,2023-05-05,2023-05-01 to 2023-05-05,4,"('Theory of a Deadman', 'Arch Echo', 'Haken')",3,Toronto, Canada, ON
24,2023-03-23,2023-03-23,2023-03-23,0,"('Twenty One Pilots', 'Billie Eilish', 'Lil Nas X')",3,Bogota, Colombia,
26,2023-05-09,2023-05-13,2023-05-09 to 2023-05-13,4,"('Arch Echo', 'Sungazer', 'Plini')",3,Boston, US, MA
